Q101429232,relation,12540705
Q101429233,relation,12540743
Q101429234,relation,12540742
Q101429235,relation,12540741
Q101429236,relation,12540740
Q101429237,relation,12540739
Q101429238,relation,12540738
Q101429239,relation,12540737
Q101429240,relation,12540736
Q101429241,relation,12540735
Q101429242,relation,12540905
Q101429243,relation,12540904
Q101429244,relation,12540903
Q101429245,relation,12540902
Q101429246,relation,12540901
Q101429247,relation,12540900
Q101429248,relation,12540899
Q101429249,relation,12540898
Q101429250,relation,12540897
Q101429251,relation,12540896
Q101429252,relation,12545028
Q101429253,relation,12545027
Q101429254,relation,12545026
Q101429255,relation,12545025
Q101429256,relation,12545024
Q101429257,relation,12545023
Q101429258,relation,12545022
Q101429259,relation,12545021
Q101429260,relation,12545020
Q101429261,relation,12545019
Q101429262,relation,12545077
Q101429263,relation,12545076
Q101429264,relation,12545075
Q101429265,relation,12545074
Q101429266,relation,12545073
Q101429267,relation,12545072
Q101429268,relation,12545071
Q101429269,relation,12545070
Q101429270,relation,12545069
Q101429271,relation,12545068
Q101429272,relation,12545181
Q101429273,relation,12545180
Q101429274,relation,12545179
Q101429275,relation,12545178
Q101429276,relation,12545177
Q101429277,relation,12545176
Q101429278,relation,12545175
Q101429279,relation,12455174
Q101429280,relation,12545173
Q101429281,relation,12545172
Q101429282,relation,12545171
Q101429283,relation,12545170
Q101429284,relation,12545169
Q101429286,relation,12545168
Q101429287,relation,12545167
